Time,Range0,Range1,Range2,Range3,Range4,Range5,Magnitude0,Magnitude1,Magnitude2,Magnitude3,Magnitude4,Magnitude5
91.154,62.0,249.0,531.0,843.0,1124.0,1377.0,6394.6,650.2,144.0,65.4,39.6,26.3
91.224,62.0,249.0,531.0,813.0,1094.0,1376.0,6410.6,657.2,148.4,70.4,40.1,26.5
91.294,62.0,249.0,531.0,814.0,1094.0,1405.0,6349.7,642.2,146.7,68.4,38.5,23.9
91.364,62.0,249.0,531.0,813.0,1094.0,1405.0,6368.6,646.4,148.2,67.9,40.0,23.8
91.434,62.0,249.0,530.0,812.0,1093.0,1374.0,6433.5,658.1,156.8,71.8,41.8,27.1
91.504,62.0,249.0,531.0,813.0,1094.0,1376.0,6355.2,643.6,147.4,67.1,37.4,26.9
91.574,62.0,249.0,531.0,813.0,1094.0,1376.0,6388.1,649.4,148.4,69.4,40.6,24.9
91.644,62.0,249.0,531.0,813.0,1093.0,1375.0,6375.4,645.7,149.3,69.1,38.7,26.5
91.714,62.0,249.0,531.0,814.0,1094.0,1376.0,6393.2,639.4,147.5,69.1,41.0,25.0
91.784,62.0,249.0,531.0,813.0,1094.0,1376.0,6366.5,641.3,150.4,68.7,39.3,26.9
91.854,62.0,249.0,531.0,813.0,1094.0,1376.0,6378.5,646.9,149.4,68.4,41.3,24.9
91.924,62.0,249.0,531.0,813.0,1094.0,1375.0,6382.9,638.3,151.3,67.7,39.7,26.4
91.994,62.0,249.0,530.0,813.0,1093.0,1376.0,6367.1,653.1,151.9,68.9,41.3,25.8
92.064,62.0,249.0,530.0,813.0,1093.0,1374.0,6332.5,636.7,151.4,70.3,40.5,26.6
92.134,62.0,249.0,530.0,813.0,1093.0,1376.0,6331.3,631.4,147.1,68.4,39.7,25.3
92.204,62.0,249.0,531.0,813.0,1094.0,1376.0,6363.2,640.7,150.3,68.5,41.5,25.1
92.274,62.0,249.0,531.0,813.0,1093.0,1376.0,6361.3,645.5,147.8,67.3,36.7,25.5
92.344,62.0,249.0,531.0,813.0,1094.0,1375.0,6355.0,647.6,150.6,69.1,38.0,27.3
92.414,62.0,249.0,531.0,813.0,1093.0,1375.0,6381.7,643.4,149.1,70.1,39.3,23.9
92.484,62.0,249.0,531.0,813.0,1094.0,1375.0,6356.9,644.2,147.8,70.6,40.8,27.3
92.554,62.0,249.0,531.0,813.0,1093.0,1376.0,6345.4,645.7,146.8,67.8,38.6,24.1
92.624,62.0,249.0,531.0,813.0,1094.0,1375.0,6348.9,634.5,152.4,69.7,39.7,26.0
92.694,62.0,249.0,531.0,813.0,1093.0,1375.0,6378.2,656.5,151.6,72.2,40.1,26.3
92.764,62.0,249.0,531.0,813.0,1094.0,1376.0,6330.5,623.0,149.4,68.8,40.4,27.0
92.834,62.0,249.0,531.0,813.0,1094.0,1375.0,6371.7,624.2,147.0,68.9,39.7,25.6
92.904,62.0,249.0,531.0,813.0,1093.0,1376.0,6372.2,641.8,152.5,71.1,39.1,26.2
92.975,62.0,249.0,530.0,812.0,1093.0,1375.0,6362.9,663.5,150.8,72.3,39.3,26.3
93.044,62.0,249.0,530.0,813.0,1094.0,1375.0,6361.6,660.2,151.3,68.6,41.2,24.3
93.114,62.0,248.0,531.0,813.0,1094.0,1375.0,6332.0,645.1,146.2,68.1,40.4,25.2
93.184,62.0,249.0,531.0,813.0,1093.0,1375.0,6342.7,636.3,149.9,70.6,39.7,24.1
93.254,62.0,249.0,531.0,813.0,1094.0,1376.0,6364.8,624.0,148.0,67.1,39.8,26.7
93.324,62.0,249.0,531.0,813.0,1094.0,1376.0,6360.2,629.8,147.9,68.0,40.8,26.7
93.394,62.0,249.0,531.0,813.0,1094.0,1375.0,6369.2,625.0,151.2,67.0,40.7,25.2
93.464,62.0,250.0,531.0,843.0,1094.0,1405.0,6335.5,597.9,146.8,64.7,37.7,27.4
93.534,62.0,249.0,531.0,813.0,1094.0,1376.0,6413.3,645.3,152.7,68.8,40.8,24.4
93.604,62.0,249.0,531.0,813.0,1093.0,1375.0,6419.9,629.4,155.1,72.4,39.7,27.1
93.674,62.0,249.0,531.0,812.0,1093.0,1374.0,6458.9,613.0,161.0,71.6,42.0,28.4
93.746,62.0,249.0,531.0,842.0,1124.0,1405.0,6340.1,617.5,146.7,66.5,38.7,25.0
93.816,62.0,248.0,531.0,813.0,1094.0,1375.0,6286.9,641.5,146.0,66.8,39.7,25.2
93.886,62.0,249.0,531.0,814.0,1095.0,1406.0,6351.6,604.3,146.1,65.6,39.1,24.6
93.956,62.0,248.0,530.0,783.0,1062.0,1343.0,6437.0,641.6,162.1,72.5,42.6,27.8
94.026,62.0,250.0,532.0,843.0,1125.0,1436.0,6304.2,581.9,141.5,65.5,33.8,23.9
94.096,62.0,249.0,531.0,812.0,1093.0,1374.0,6426.3,638.6,158.7,71.7,40.9,24.6
94.166,62.0,250.0,562.0,874.0,1156.0,1439.0,6289.3,571.7,133.9,62.0,35.2,23.1
94.237,62.0,249.0,532.0,813.0,1094.0,1406.0,6371.9,632.3,152.8,68.5,38.7,25.6
94.307,62.0,250.0,562.0,845.0,1156.0,1468.0,6188.8,533.2,133.0,58.8,34.4,22.0
94.377,62.0,250.0,562.0,845.0,1157.0,1438.0,6212.4,555.0,135.6,57.6,32.3,23.3
94.447,62.0,250.0,532.0,843.0,1095.0,1406.0,6465.3,583.9,154.7,68.4,38.3,25.9
94.517,62.0,250.0,533.0,844.0,1125.0,1436.0,6386.5,599.8,147.2,68.0,36.8,24.2
94.587,62.0,250.0,533.0,843.0,1125.0,1407.0,6464.6,557.1,152.7,68.5,36.7,25.8
94.657,62.0,251.0,593.0,906.0,1250.0,1531.0,6151.9,492.3,111.8,46.0,31.2,17.2
94.727,62.0,250.0,532.0,814.0,1124.0,1406.0,6473.9,633.4,155.5,66.9,37.6,28.2
94.797,62.0,251.0,532.0,814.0,1125.0,1406.0,6398.9,591.5,162.1,70.3,39.4,28.5
94.867,62.0,250.0,561.0,844.0,1155.0,1437.0,6337.5,593.0,142.2,63.7,36.5,23.4
94.937,62.0,249.0,533.0,843.0,1124.0,1407.0,6265.7,568.9,142.6,64.3,35.8,24.5
95.008,62.0,249.0,562.0,845.0,1157.0,1439.0,6261.1,581.5,135.4,59.1,33.0,23.8
95.078,62.0,250.0,562.0,845.0,1156.0,1468.0,6215.5,549.7,134.5,59.5,33.2,23.9
95.148,62.0,250.0,562.0,845.0,1156.0,1438.0,6167.5,505.5,132.3,59.6,33.1,23.6
95.218,62.0,250.0,562.0,874.0,1156.0,1438.0,6429.8,616.0,140.7,62.1,36.6,23.6
95.288,62.0,248.0,530.0,782.0,1062.0,1343.0,6308.7,609.6,162.6,74.0,44.4,26.6
95.358,62.0,249.0,562.0,844.0,1156.0,1437.0,6431.0,614.5,136.0,62.5,36.8,24.9
95.428,62.0,248.0,530.0,812.0,1063.0,1344.0,6321.5,605.5,161.7,73.6,43.2,25.2
95.498,62.0,250.0,562.0,874.0,1156.0,1468.0,6140.6,502.7,131.7,59.7,34.3,22.9
95.568,62.0,250.0,563.0,875.0,1187.0,1469.0,6153.6,522.4,124.0,56.8,30.9,20.6
95.638,62.0,250.0,563.0,875.0,1188.0,1499.0,6266.6,538.1,129.7,57.8,33.3,22.1
95.708,62.0,248.0,562.0,845.0,1156.0,1438.0,6165.0,540.5,129.3,55.8,31.1,22.2
95.777,62.0,250.0,561.0,844.0,1155.0,1436.0,6417.4,592.3,143.9,65.1,38.1,24.8
95.847,62.0,249.0,501.0,781.0,1033.0,1313.0,6522.9,635.1,180.2,81.7,47.0,28.8
95.917,62.0,251.0,593.0,906.0,1249.0,1532.0,6156.0,496.0,109.3,48.5,30.2,20.0
95.987,62.0,248.0,501.0,781.0,1033.0,1312.0,6496.9,665.2,177.7,80.6,46.6,29.8
96.057,62.0,250.0,531.0,813.0,1093.0,1375.0,6506.6,628.1,166.2,73.0,41.0,28.3
96.127,62.0,250.0,531.0,813.0,1094.0,1375.0,6581.8,632.0,169.4,71.9,43.7,28.0
96.197,62.0,250.0,562.0,844.0,1156.0,1438.0,6392.0,590.2,141.2,60.5,37.8,23.6
96.267,62.0,251.0,594.0,907.0,1250.0,1562.0,6140.2,491.7,107.8,50.5,27.5,18.8
96.337,62.0,251.0,594.0,937.0,1250.0,1563.0,6115.2,474.2,107.6,50.1,27.6,18.1
96.407,62.0,250.0,563.0,875.0,1187.0,1470.0,6129.3,515.0,127.7,56.5,31.7,21.0
96.477,62.0,249.0,532.0,813.0,1094.0,1406.0,6275.7,594.5,153.7,69.9,41.4,24.6
96.547,62.0,249.0,501.0,782.0,1033.0,1313.0,6482.0,659.8,178.3,78.6,48.9,28.1
96.617,62.0,248.0,499.0,750.0,1001.0,1280.0,6583.3,697.5,193.8,88.3,50.2,31.4
96.688,62.0,248.0,500.0,780.0,1032.0,1312.0,6454.3,668.9,175.8,79.0,46.4,31.0
96.758,62.0,249.0,532.0,813.0,1124.0,1405.0,6260.9,577.0,147.3,65.9,36.8,25.6
96.828,62.0,248.0,501.0,781.0,1032.0,1312.0,6469.7,657.7,176.3,79.8,48.4,29.2
96.898,62.0,248.0,530.0,811.0,1063.0,1343.0,6486.1,645.5,166.4,75.7,45.3,27.0
96.968,62.0,249.0,562.0,845.0,1156.0,1438.0,6401.4,563.0,139.7,62.7,36.2,24.6
97.038,62.0,250.0,562.0,874.0,1187.0,1469.0,6179.9,524.4,130.7,55.9,33.0,21.4
97.108,62.0,250.0,532.0,843.0,1124.0,1406.0,6624.0,633.8,156.2,71.6,39.7,27.7
97.178,62.0,249.0,532.0,813.0,1095.0,1405.0,6320.1,590.9,151.1,67.0,38.7,26.0
97.248,62.0,248.0,501.0,781.0,1061.0,1313.0,6401.7,641.3,170.9,77.2,42.2,30.7
97.320,62.0,249.0,530.0,811.0,1063.0,1344.0,6411.6,634.5,166.2,78.1,42.9,27.1
97.389,62.0,251.0,564.0,906.0,1218.0,1532.0,6262.0,504.0,115.7,55.7,32.0,18.4
97.459,62.0,250.0,563.0,875.0,1218.0,1499.0,6206.8,529.7,122.4,53.5,30.1,21.6
97.529,62.0,250.0,563.0,875.0,1188.0,1500.0,6255.3,544.9,126.3,52.3,33.6,24.1
97.599,62.0,251.0,563.0,875.0,1188.0,1499.0,6343.6,561.5,131.4,55.6,34.9,21.9
97.669,62.0,251.0,593.0,906.0,1219.0,1530.0,6419.5,541.8,121.4,54.1,31.3,21.1
97.739,62.0,251.0,593.0,906.0,1219.0,1531.0,6376.1,528.3,120.4,49.9,31.0,21.3
97.809,62.0,250.0,562.0,875.0,1187.0,1468.0,6164.7,515.7,129.6,56.4,32.2,22.6
97.879,62.0,248.0,531.0,813.0,1093.0,1376.0,6113.1,565.9,146.2,65.8,38.9,23.6
97.949,62.0,250.0,562.0,844.0,1156.0,1468.0,6285.4,552.3,137.0,63.9,32.6,23.3
98.020,62.0,249.0,533.0,843.0,1125.0,1437.0,6412.4,602.4,145.0,64.9,36.6,25.4
98.090,62.0,250.0,531.0,813.0,1094.0,1376.0,6383.7,609.9,156.4,70.2,39.5,27.5
98.160,62.0,248.0,501.0,782.0,1062.0,1343.0,6388.6,643.8,166.4,73.6,43.2,27.3
98.230,62.0,248.0,530.0,782.0,1063.0,1344.0,6391.6,654.2,162.9,72.0,44.3,26.7
98.300,62.0,248.0,501.0,781.0,1033.0,1313.0,6434.6,658.4,174.6,78.9,46.1,27.1
98.370,62.0,248.0,500.0,752.0,1031.0,1283.0,6312.5,638.6,176.9,79.1,46.4,29.2
98.442,62.0,248.0,501.0,781.0,1032.0,1312.0,6258.0,624.8,167.9,77.5,46.0,28.0
98.511,62.0,249.0,530.0,782.0,1062.0,1343.0,6333.6,630.5,166.3,76.2,44.2,27.2
98.581,62.0,250.0,532.0,843.0,1125.0,1407.0,6292.4,585.7,147.7,66.2,40.0,24.7
98.651,62.0,251.0,562.0,875.0,1157.0,1468.0,6281.0,555.1,135.0,62.3,36.4,22.2
98.721,62.0,251.0,563.0,875.0,1187.0,1469.0,6285.5,538.3,131.8,61.2,34.9,22.7
98.791,62.0,251.0,563.0,876.0,1218.0,1500.0,6298.3,535.4,126.8,58.8,30.9,22.9
98.861,62.0,251.0,563.0,905.0,1189.0,1500.0,6286.8,527.0,127.2,56.9,33.9,22.5
98.931,62.0,251.0,563.0,876.0,1188.0,1499.0,6313.6,536.4,127.2,60.2,34.5,22.1
99.001,62.0,251.0,593.0,906.0,1220.0,1531.0,6359.1,526.3,119.4,55.3,29.9,20.3
99.071,62.0,252.0,593.0,907.0,1220.0,1531.0,6321.4,502.0,113.7,54.9,31.4,19.6
99.141,62.0,251.0,593.0,906.0,1219.0,1500.0,6293.1,510.6,117.5,55.6,33.8,20.1
99.211,62.0,251.0,593.0,906.0,1219.0,1530.0,6319.6,511.6,117.3,54.9,31.3,19.3
99.281,62.0,251.0,593.0,907.0,1220.0,1531.0,6325.2,511.3,113.7,54.7,30.7,20.4
99.351,62.0,251.0,594.0,907.0,1250.0,1532.0,6332.6,506.2,114.0,53.1,30.8,18.9
99.421,62.0,251.0,594.0,907.0,1250.0,1562.0,6324.8,502.7,112.0,53.4,29.3,20.1
99.491,62.0,251.0,594.0,907.0,1220.0,1531.0,6318.5,505.6,111.5,54.1,30.9,19.7
99.561,62.0,251.0,593.0,906.0,1219.0,1531.0,6316.7,513.8,117.5,53.3,32.5,19.5
99.631,62.0,251.0,593.0,906.0,1218.0,1501.0,6331.0,525.6,119.5,57.6,30.7,20.4
99.701,62.0,251.0,564.0,876.0,1189.0,1500.0,6343.1,538.1,126.9,57.9,34.4,22.5
99.771,62.0,251.0,563.0,876.0,1188.0,1469.0,6342.0,542.8,132.0,60.6,35.6,21.9
99.841,62.0,251.0,563.0,875.0,1187.0,1469.0,6316.7,543.3,131.4,61.3,36.0,23.5
99.911,62.0,251.0,562.0,875.0,1187.0,1468.0,6296.7,545.5,136.3,60.7,35.6,22.8
99.981,62.0,251.0,562.0,874.0,1186.0,1468.0,6284.8,548.1,134.7,60.6,36.4,23.2
100.050,62.0,251.0,562.0,874.0,1157.0,1467.0,6284.9,546.4,135.8,59.8,35.1,23.8
100.120,62.0,251.0,562.0,874.0,1157.0,1439.0,6284.3,545.8,137.6,62.2,35.3,23.7
100.190,62.0,251.0,563.0,875.0,1187.0,1469.0,6301.8,542.4,134.0,60.7,34.8,23.7
100.260,62.0,251.0,563.0,875.0,1187.0,1469.0,6324.5,539.5,132.5,59.9,33.8,22.5
100.330,62.0,251.0,563.0,876.0,1189.0,1500.0,6359.2,533.4,129.6,58.5,33.5,22.0
100.400,62.0,251.0,564.0,906.0,1218.0,1501.0,6390.6,526.4,123.9,59.4,32.3,21.9
100.470,62.0,252.0,593.0,906.0,1219.0,1531.0,6417.7,520.2,122.2,56.9,34.4,20.7
100.540,62.0,251.0,593.0,906.0,1219.0,1531.0,6440.9,518.5,121.5,57.8,33.5,20.4
100.610,62.0,251.0,593.0,906.0,1220.0,1531.0,6468.6,521.5,121.0,58.2,31.1,22.0
100.680,62.0,251.0,593.0,906.0,1219.0,1530.0,6489.5,535.3,124.2,57.6,33.9,20.1
100.750,62.0,250.0,563.0,876.0,1218.0,1501.0,6490.9,545.2,126.6,58.8,31.9,19.8
100.820,62.0,250.0,563.0,875.0,1188.0,1499.0,6471.8,557.3,131.3,59.5,35.5,23.1
100.890,62.0,250.0,562.0,874.0,1187.0,1468.0,6452.0,563.1,135.9,60.6,33.4,22.9
100.959,62.0,249.0,562.0,874.0,1157.0,1469.0,6445.8,568.7,137.4,63.2,34.3,24.7
101.029,62.0,249.0,562.0,874.0,1157.0,1468.0,6444.6,565.3,136.9,62.0,32.8,22.7
101.099,62.0,250.0,562.0,874.0,1157.0,1468.0,6457.3,568.0,137.6,63.4,35.0,23.1
101.169,62.0,250.0,562.0,875.0,1187.0,1469.0,6473.3,564.1,135.1,62.0,35.8,23.2
101.239,62.0,250.0,563.0,875.0,1187.0,1470.0,6489.3,557.0,131.5,61.7,34.1,23.5
101.309,62.0,250.0,563.0,876.0,1189.0,1500.0,6507.7,548.3,128.1,59.8,33.6,22.4
101.379,62.0,251.0,593.0,906.0,1219.0,1501.0,6502.8,534.8,123.2,57.7,34.6,22.0
101.449,62.0,251.0,593.0,906.0,1219.0,1532.0,6469.8,531.3,123.5,57.4,32.6,20.5
101.519,62.0,251.0,564.0,906.0,1218.0,1500.0,6425.8,537.5,125.3,59.5,32.0,22.9
101.589,62.0,251.0,563.0,876.0,1218.0,1499.0,6398.6,540.5,128.6,57.8,31.9,21.8
101.659,62.0,251.0,563.0,875.0,1188.0,1470.0,6366.7,550.4,131.9,60.9,33.7,23.7
101.729,62.0,250.0,562.0,875.0,1186.0,1468.0,6353.8,560.1,134.4,62.2,35.0,24.3
101.799,62.0,250.0,562.0,845.0,1156.0,1437.0,6352.5,571.8,139.7,63.3,34.2,26.2
101.869,62.0,249.0,533.0,843.0,1125.0,1436.0,6359.9,583.4,144.0,64.9,35.8,22.9
101.939,62.0,249.0,532.0,843.0,1124.0,1406.0,6358.2,595.9,150.5,65.8,38.5,24.9
102.009,62.0,249.0,531.0,813.0,1094.0,1375.0,6364.8,602.4,152.1,69.9,39.4,24.9
102.078,62.0,248.0,531.0,813.0,1093.0,1374.0,6368.7,603.8,156.5,69.2,42.1,27.8
102.147,62.0,248.0,531.0,812.0,1092.0,1345.0,6377.6,605.4,158.1,72.8,40.2,26.7
102.217,62.0,248.0,530.0,812.0,1063.0,1344.0,6391.6,610.6,162.9,73.0,42.8,26.1
102.287,62.0,248.0,530.0,783.0,1063.0,1343.0,6415.1,614.3,165.2,76.5,43.2,27.4
102.357,62.0,248.0,530.0,782.0,1063.0,1343.0,6431.4,615.9,166.1,75.9,43.1,27.9
102.427,62.0,248.0,530.0,811.0,1063.0,1344.0,6445.9,615.2,166.2,73.7,44.2,28.4
102.497,62.0,249.0,530.0,812.0,1063.0,1344.0,6451.1,614.5,167.2,74.6,43.6,27.1
102.567,62.0,249.0,530.0,812.0,1063.0,1344.0,6449.4,611.7,165.7,77.5,42.9,26.3
102.638,62.0,249.0,531.0,812.0,1064.0,1344.0,6457.4,612.3,164.7,75.5,42.5,27.9
102.708,62.0,249.0,531.0,812.0,1093.0,1345.0,6454.1,611.7,163.7,74.4,42.4,27.1
102.778,62.0,249.0,531.0,812.0,1092.0,1345.0,6446.7,610.6,164.1,74.0,42.6,26.1
102.848,62.0,249.0,531.0,812.0,1093.0,1345.0,6431.1,608.4,164.2,72.2,42.7,25.5
102.918,62.0,249.0,531.0,813.0,1093.0,1374.0,6417.4,603.7,159.6,72.1,42.4,27.1
102.989,62.0,249.0,531.0,813.0,1093.0,1374.0,6401.7,600.1,158.2,73.0,41.0,27.0
103.060,62.0,249.0,531.0,813.0,1094.0,1375.0,6377.1,596.3,155.5,71.3,40.7,24.3
103.130,62.0,249.0,532.0,814.0,1095.0,1405.0,6357.9,591.3,153.1,67.7,40.4,24.5
103.200,62.0,249.0,532.0,843.0,1124.0,1406.0,6339.0,584.9,148.6,66.2,37.0,24.4
103.270,62.0,249.0,532.0,843.0,1125.0,1407.0,6323.2,581.1,146.6,66.4,38.3,23.3
103.340,62.0,249.0,533.0,844.0,1125.0,1407.0,6313.8,574.7,141.1,65.8,35.7,24.3
103.410,62.0,249.0,561.0,844.0,1155.0,1437.0,6298.4,567.4,136.6,63.0,34.0,23.6
103.480,62.0,250.0,562.0,874.0,1157.0,1468.0,6288.0,559.5,132.0,60.8,33.9,20.6
103.550,62.0,250.0,563.0,875.0,1157.0,1469.0,6276.3,548.2,129.9,58.2,30.8,22.0
103.620,62.0,250.0,563.0,875.0,1188.0,1470.0,6275.0,542.4,125.9,58.8,33.2,22.3
103.690,62.0,250.0,562.0,874.0,1157.0,1468.0,6239.4,518.8,132.5,63.1,34.3,21.3
103.760,62.0,248.0,531.0,812.0,1064.0,1374.0,6348.5,616.2,160.1,72.0,38.7,25.9
103.830,62.0,226.0,499.0,750.0,1000.0,1251.0,6326.9,689.0,180.7,84.0,49.7,27.5
103.900,62.0,248.0,530.0,782.0,1062.0,1344.0,6514.4,662.2,169.2,76.6,44.7,25.9
103.970,62.0,251.0,593.0,906.0,1219.0,1531.0,6409.4,538.0,119.1,54.9,30.8,20.7
104.040,62.0,250.0,562.0,845.0,1156.0,1438.0,6131.2,541.5,133.3,58.8,34.4,21.3
104.110,62.0,226.0,500.0,752.0,1031.0,1282.0,6455.4,666.8,180.4,81.1,47.1,30.5
104.181,62.0,251.0,563.0,876.0,1188.0,1499.0,6415.9,553.8,132.0,59.0,33.4,20.7
104.254,62.0,248.0,530.0,782.0,1063.0,1344.0,6397.2,623.9,163.4,73.3,41.9,25.9
104.326,62.0,249.0,561.0,844.0,1126.0,1437.0,6396.2,597.0,140.9,62.3,36.4,26.3
104.395,62.0,248.0,530.0,782.0,1063.0,1343.0,6348.7,594.4,163.2,74.2,42.5,27.9
104.465,62.0,248.0,532.0,843.0,1095.0,1376.0,6268.3,573.3,144.5,67.9,37.0,23.1
104.535,62.0,344.0,781.0,1188.0,1624.0,2000.0,6042.0,290.0,52.2,23.1,15.5,9.4
104.608,62.0,224.0,502.0,782.0,1063.0,1314.0,6508.2,730.6,159.3,74.9,42.7,27.9
104.681,62.0,245.0,346.0,1219.0,1969.0,2594.0,6274.8,184.5,128.3,14.1,6.4,5.0
104.754,63.0,354.0,439.0,877.0,2282.0,594.0,5884.5,36.5,9.4,7.1,4.4,4.2
104.826,63.0,355.0,466.0,874.0,593.0,720.0,5454.7,37.4,7.8,6.3,5.2,3.4
104.896,61.0,219.0,356.0,875.0,597.0,718.0,2875.4,106.3,21.4,6.7,4.5,2.8
104.966,62.0,354.0,469.0,591.0,844.0,1435.0,4421.6,23.6,6.2,6.2,3.8,3.3
105.036,63.0,358.0,405.0,842.0,1439.0,719.0,3816.1,20.2,18.8,4.7,2.9,2.9
105.109,37.0,121.0,353.0,436.0,936.0,1154.0,896.3,503.0,34.0,6.4,4.7,2.6
105.181,61.0,121.0,403.0,874.0,526.0,1063.0,1102.8,953.2,6.5,6.1,3.1,2.3
105.255,61.0,217.0,355.0,905.0,469.0,591.0,1832.7,160.4,39.4,11.8,7.8,5.3
105.327,62.0,354.0,876.0,403.0,590.0,1249.0,2957.0,10.2,7.2,6.9,3.8,3.3
105.400,62.0,354.0,436.0,907.0,10750.0,686.0,1466.3,33.6,9.1,9.0,2.4,1.9
105.471,62.0,223.0,357.0,846.0,11876.0,9907.0,1624.3,138.1,33.8,4.0,2.4,2.3
105.540,60.0,116.0,212.0,372.0,908.0,531.0,903.7,670.4,91.6,14.1,10.5,3.3
105.616,61.0,354.0,908.0,469.0,1500.0,11469.0,1563.1,26.9,25.6,5.7,4.7,2.2
105.690,63.0,356.0,207.0,908.0,467.0,593.0,1734.2,33.7,32.4,21.8,5.2,4.5
105.762,62.0,227.0,357.0,908.0,1498.0,6438.0,3173.0,139.9,38.0,19.7,4.9,2.1
105.834,62.0,907.0,404.0,359.0,1499.0,1250.0,2718.5,20.2,13.4,13.3,5.1,3.9
105.908,60.0,119.0,187.0,905.0,466.0,358.0,718.1,601.5,247.3,11.9,10.9,4.6
105.981,63.0,216.0,358.0,907.0,1469.0,7312.0,2711.8,87.3,24.8,22.9,5.2,2.3
106.055,62.0,221.0,355.0,876.0,469.0,591.0,2579.0,219.5,15.3,7.2,6.7,5.6
106.129,62.0,230.0,357.0,906.0,1500.0,625.0,2199.0,161.1,22.7,11.3,5.2,3.4
106.202,62.0,215.0,354.0,906.0,1469.0,595.0,2939.0,100.9,34.3,15.5,5.3,4.3
106.275,63.0,227.0,352.0,876.0,1439.0,431.0,1814.8,176.5,18.2,8.7,3.3,3.3
106.349,62.0,223.0,356.0,910.0,750.0,9153.0,2971.4,215.7,40.1,6.7,3.5,2.5
106.423,117.0,60.0,218.0,357.0,844.0,7624.0,487.9,464.2,193.0,32.3,4.6,2.3
106.497,62.0,357.0,466.0,590.0,878.0,1064.0,2766.9,23.2,10.1,3.3,2.9,2.5
106.570,62.0,905.0,352.0,413.0,531.0,1498.0,2136.0,14.2,12.2,10.6,5.5,4.3
106.644,61.0,355.0,904.0,565.0,1500.0,1126.0,1293.5,31.5,20.5,4.9,4.8,4.0
106.715,62.0,214.0,353.0,907.0,1499.0,595.0,2381.2,217.7,33.5,17.6,4.5,3.7
106.788,61.0,358.0,909.0,532.0,2501.0,720.0,2635.7,25.2,7.9,4.1,3.0,2.7
106.861,62.0,358.0,878.0,532.0,623.0,5374.0,1604.7,11.1,7.7,3.1,2.5,2.4
106.933,61.0,225.0,353.0,877.0,461.0,1501.0,3135.2,198.9,22.1,16.2,5.7,4.0
107.004,41.0,191.0,133.0,906.0,354.0,1499.0,419.2,271.3,145.5,30.1,26.3,3.9
107.076,56.0,120.0,186.0,356.0,907.0,1499.0,857.0,421.4,323.2,46.2,29.0,5.7
107.149,60.0,188.0,358.0,907.0,1500.0,13626.0,1412.0,250.1,40.2,29.2,4.2,2.5
107.222,126.0,63.0,359.0,936.0,750.0,1156.0,645.9,504.0,22.6,10.2,3.5,3.3
107.292,61.0,357.0,595.0,877.0,968.0,781.0,1624.2,25.5,3.4,2.8,2.6,2.1
107.362,61.0,225.0,355.0,905.0,624.0,15375.0,2258.4,147.8,21.8,3.3,2.1,2.1
107.432,61.0,936.0,357.0,439.0,627.0,1218.0,1680.5,10.1,8.8,8.1,3.4,2.0
107.502,121.0,66.0,352.0,437.0,940.0,1531.0,992.7,911.9,8.2,5.6,5.5,2.5
107.575,62.0,119.0,359.0,935.0,501.0,622.0,1366.3,1118.9,12.3,8.7,6.7,5.1
107.648,62.0,354.0,470.0,600.0,10907.0,15531.0,4866.7,40.3,4.8,3.4,2.9,2.4
107.721,62.0,356.0,435.0,939.0,3593.0,529.0,3848.7,33.3,6.7,3.3,2.8,2.7
107.794,62.0,357.0,906.0,656.0,1842.0,7624.0,4238.1,36.6,7.4,4.4,3.2,2.9
107.866,63.0,356.0,477.0,9249.0,688.0,4750.0,3835.3,33.8,5.6,2.8,2.7,2.6
107.939,63.0,355.0,907.0,529.0,1530.0,6282.0,3361.5,34.0,7.2,3.8,2.4,2.1
108.010,63.0,353.0,940.0,435.0,531.0,751.0,2767.3,11.9,5.0,4.0,4.0,3.3
108.081,63.0,235.0,350.0,405.0,529.0,938.0,5637.2,47.2,22.2,6.7,5.4,4.2
108.151,62.0,352.0,717.0,939.0,625.0,517.0,5331.0,24.3,5.2,4.7,4.3,3.6
108.221,62.0,353.0,1000.0,939.0,524.0,597.0,4939.5,21.6,4.6,4.5,4.2,2.9
108.291,62.0,238.0,355.0,908.0,9594.0,5375.0,5067.1,79.5,18.6,8.8,3.2,3.2
108.361,62.0,242.0,355.0,906.0,468.0,12376.0,4607.0,78.6,28.3,11.8,5.1,3.1
108.435,62.0,625.0,1001.0,1313.0,1657.0,1968.0,6175.1,77.4,32.3,19.8,14.1,9.8
108.509,60.0,312.0,441.0,597.0,752.0,907.0,5905.9,397.9,202.4,119.6,76.8,50.5
108.584,62.0,214.0,355.0,473.0,904.0,4405.0,4376.9,239.8,18.7,6.5,4.5,3.2
108.657,62.0,227.0,625.0,969.0,1312.0,1626.0,6339.5,641.0,85.2,36.0,22.1,14.9
108.729,62.0,218.0,437.0,657.0,877.0,1123.0,6743.6,947.4,253.8,115.9,59.2,39.4
108.801,62.0,259.0,346.0,1124.0,1844.0,1594.0,5610.5,121.9,105.2,18.0,8.6,6.7
108.872,61.0,219.0,439.0,688.0,937.0,1157.0,6221.9,852.3,199.6,89.0,54.4,31.5
108.942,62.0,250.0,562.0,843.0,1125.0,1407.0,6811.7,730.3,161.1,68.7,41.5,26.1
109.015,62.0,248.0,501.0,781.0,1032.0,1312.0,6198.3,627.6,171.0,77.9,41.7,28.1
